Country,Geothermal,Hydroelectricity,Solar,Wind
Algeria,NA,0.1,0.1,0.16
Angola,NA,0.46,0.16,NA
Argentina,NA,0.44,0.19,0.25
Armenia,NA,0.19,0.13,0.12
Australia,NA,0.28,0.14,0.28
Azerbaijan,NA,0.24,0.14,0.09
Bahrain,NA,NA,0.18,0.16
Bangladesh,NA,0.46,0.15,0.21
Belgium,NA,0.34,0.09,0.21
Bhutan,NA,0.54,0.17,0.11
Bosnia and Herzegovina,NA,0.28,0.17,0.35
Botswana,NA,NA,0.1,NA
Brazil,NA,0.52,0.11,0.25
Bulgaria,NA,0.19,0.12,0.17
Cambodia,NA,0.3,0.08,0.11
Canada,NA,0.56,0.13,0.25
Chile,0.3,0.47,0.21,0.27
China,0.57,0.39,0.12,0.19
Colombia,NA,0.51,0.08,0.34
Cuba,NA,0.2,0.1,0.18
Denmark,NA,0.26,0.09,0.25
DR Congo,NA,0.35,0.16,NA
Egypt,NA,0.54,0.03,0.34
Estonia,NA,0.5,0.1,0.22
Ethiopia,0.1,0.45,0.19,0.27
Finland,NA,0.5,0.08,0.21
France,0.57,0.37,0.1,0.21
Gabon,NA,0.51,NA,NA
Georgia,NA,0.3,NA,0.26
Germany,0.4,0.54,0.09,0.18
Ghana,NA,0.55,0.08,NA
Greece,NA,0.21,0.11,0.25
Guadeloupe,0.74,NA,0.14,0.26
Honduras,0.3,0.49,0.12,0.35
India,NA,0.37,0.18,0.17
Indonesia,0.86,0.3,0.02,0.46
Iraq,NA,0.16,0.18,NA
Ireland,NA,0.35,0.12,0.26
Italy,0.88,0.35,0.1,0.18
Ivory Coast,NA,0.32,0.1,NA
Japan,0.61,0.42,0.12,0.19
Jordan,NA,0.5,0.2,0.29
Kazakhstan,NA,0.39,0.12,0.15
Kenya,0.82,0.48,0.15,0.36
Laos,NA,0.51,0.15,NA
Lesotho,NA,0.69,NA,NA
Libya,NA,NA,0.17,NA
Lithuania,NA,0.42,0.09,0.22
Macao,NA,NA,NA,NA
Malawi,NA,0.57,NA,NA
Malaysia,NA,0.34,0.14,NA
Mali,NA,0.43,0.13,NA
Martinique,NA,NA,NA,0.19
Mauritania,NA,0.34,0.16,0.36
Mexico,0.78,0.31,0.1,0.21
Montenegro,NA,0.3,NA,0.15
Morocco,NA,0.13,NA,0.33
Mozambique,NA,0.75,0.01,NA
Myanmar,NA,0.44,0.17,NA
Nepal,NA,0.53,0.17,NA
Netherlands,NA,0.3,0.08,0.22
New Caledonia,NA,0.51,NA,0.14
New Zealand,0.87,0.51,0.12,0.36
Niger,NA,NA,0.14,NA
Nigeria,NA,0.35,0.17,0.11
Norway,NA,0.52,0.18,0.25
Oman,NA,NA,NA,NA
Pakistan,NA,0.49,0.17,0.3
Peru,NA,0.67,0.13,0.17
Philippines,0.62,0.31,0.12,0.22
Poland,NA,0.45,0.08,0.22
Portugal,0.75,0.29,0.16,0.24
Qatar,NA,NA,0.17,NA
Reunion,NA,0.48,0.13,0.11
Romania,NA,0.29,0.11,0.26
Russia,0.6,0.41,0.11,0.09
Saudi Arabia,NA,NA,0.2,0.19
Senegal,NA,0.45,0.17,NA
Serbia,NA,0.5,0.11,0.15
South Africa,NA,0.24,0.15,0.32
South Korea,NA,0.25,0.13,0.19
Spain,NA,0.25,0.16,0.23
Sri Lanka,NA,0.33,0.13,0.19
Sweden,NA,0.47,0.08,0.24
Taiwan,NA,0.25,0.11,0.27
Trinidad and Tobago,NA,NA,0.16,NA
Turkey,0.6,0.31,0.09,0.29
Uganda,NA,0.54,0.16,NA
Ukraine,NA,0.26,0.06,0.12
United Arab Emirates,NA,NA,0.14,0.21
United Kingdom,NA,0.34,0.08,0.25
United States,0.72,0.39,0.15,0.27
Uzbekistan,NA,0.43,0.14,NA
Vietnam,NA,0.47,0.14,0.19
Western Sahara,NA,NA,NA,NA
Yemen,NA,NA,NA,NA
Zambia,NA,0.61,0.17,NA
Zimbabwe,NA,0.72,0.12,NA
Average,0.62,0.40,0.13,0.23